Date,Simple Date,Outdoor Temperature (F),Feels Like (F),Dew Point (F),Wind Speed (mph),Wind Gust (mph),Wind Direction (deg),Rain Rate (in/hr),Daily Rain (in),Relative Pressure (inHg),Humidity (pct),Absolute Pressure (inHg),Soil 1 Battery (V)
2024-06-26T02:33:00-04:00,6/26/2024 02:33,66.2,66.2,60.2,9.4,14.3,284,0,0,29.75,81,29.75,4.29
2024-06-26T02:48:00-04:00,6/26/2024 02:48,65.7,65.7,60,10.3,14.8,288,0,0,29.75,82,29.75,
2024-06-26T03:03:00-04:00,6/26/2024 03:03,66,66,60.3,12.3,18.3,288,0,0,29.75,82,29.75,
2024-06-26T03:18:00-04:00,6/26/2024 03:18,65.7,65.7,60,10.7,17.7,288,0,0,29.74,82,29.74,
2024-06-26T03:33:00-04:00,6/26/2024 03:33,64.9,64.9,59.9,8.9,13,300,0,0,29.74,84,29.74,4.28
2024-06-26T03:48:00-04:00,6/26/2024 03:48,65.7,65.7,60,11.2,16.3,294,0,0,29.74,82,29.74,
2024-06-26T04:03:00-04:00,6/26/2024 04:03,65.7,65.7,60,8.5,13.2,290,0,0,29.73,82,29.73,
2024-06-26T04:18:00-04:00,6/26/2024 04:18,65.3,65.3,60,8.9,14.5,298,0,0,29.73,83,29.73,
2024-06-26T04:33:00-04:00,6/26/2024 04:33,65.3,65.3,60,9.4,13.4,301,0,0,29.73,83,29.73,4.28
2024-06-26T04:48:00-04:00,6/26/2024 04:48,65.3,65.3,60,8.3,12.1,298,0,0,29.73,83,29.73,
2024-06-26T05:03:00-04:00,6/26/2024 05:03,65.7,65.7,59.7,8.1,11.4,297,0,0,29.73,81,29.73,
2024-06-26T05:18:00-04:00,6/26/2024 05:18,65.5,65.5,59.9,6.9,10.5,294,0,0,29.73,82,29.73,
2024-06-26T05:33:00-04:00,6/26/2024 05:33,65.8,65.8,59.8,8.1,11.2,291,0,0,29.73,81,29.73,4.27
2024-06-26T05:48:00-04:00,6/26/2024 05:48,65.5,65.5,59.5,9.6,11.4,288,0,0,29.72,81,29.72,
2024-06-26T06:03:00-04:00,6/26/2024 06:03,65.8,65.8,59.1,9.8,14.8,298,0,0,29.72,79,29.72,
2024-06-26T06:18:00-04:00,6/26/2024 06:18,65.7,65.7,59,12.3,17.4,300,0,0,29.72,79,29.72,
2024-06-26T06:33:00-04:00,6/26/2024 06:33,65.7,65.7,59,12.5,17.4,303,0,0,29.72,79,29.72,4.27
2024-06-26T06:48:00-04:00,6/26/2024 06:48,65.3,65.3,59,9.4,13.4,298,0,0,29.72,80,29.72,
2024-06-26T07:03:00-04:00,6/26/2024 07:03,65.3,65.3,59.3,9.8,14.8,295,0,0,29.72,81,29.72,
2024-06-26T07:18:00-04:00,6/26/2024 07:18,65.8,65.8,59.1,8.9,12.5,297,0,0,29.72,79,29.72,
2024-06-26T07:33:00-04:00,6/26/2024 07:33,66,66,58.9,9.4,12.5,285,0,0,29.72,78,29.72,4.27
2024-06-26T07:48:00-04:00,6/26/2024 07:48,65.5,65.5,58.8,10.1,14.1,290,0,0,29.71,79,29.71,
2024-06-26T08:03:00-04:00,6/26/2024 08:03,65.1,65.1,59.1,12.3,17.2,288,0,0,29.7,81,29.7,
2024-06-26T08:18:00-04:00,6/26/2024 08:18,65.1,65.1,59.1,11.9,17.7,296,0,0,29.71,81,29.71,
2024-06-26T08:33:00-04:00,6/26/2024 08:33,65.1,65.1,58.8,12.8,17.2,295,0,0,29.7,80,29.7,4.47
2024-06-26T08:48:00-04:00,6/26/2024 08:48,64.9,64.9,58.9,14.1,19.7,294,0,0,29.7,81,29.7,
2024-06-26T09:03:00-04:00,6/26/2024 09:03,64.8,64.8,59.2,13.2,17.4,297,0,0,29.69,82,29.69,
2024-06-26T09:18:00-04:00,6/26/2024 09:18,64.8,64.8,59.2,15.7,20.6,294,0,0,29.69,82,29.69,
