sst,ID,bathy,lon,lon
10.329,874268,-34.92461489,-70.05999756,43.66999817
10.343,875368,-45.1524842,-70.05000305,43.66999817
10.356,876468,-36.38017604,-70.04000092,43.66999817
10.37,877568,-37.31588178,-70.02999878,43.66999817
10.387,878668,-32.90214621,-70.01999664,43.66999817
10.409,879768,-35.94003531,-70.01000214,43.66999817
10.434,880868,-43.0223468,-70,43.66999817
10.453,881968,-45.03204213,-69.98999786,43.66999817
10.461,883068,-47.0565358,-69.98000336,43.66999817
10.458,884168,-45.95924013,-69.97000122,43.66999817
10.445,885268,-42.66181427,-69.95999908,43.66999817
10.427,886368,-39.6951936,-69.94999695,43.66999817
10.408,887468,-36.65697563,-69.94000244,43.66999817
10.39,888568,-31.08886698,-69.93000031,43.66999817
10.374,889668,-34.21242982,-69.91999817,43.66999817
10.053,853369,-2.656842002,-70.25,43.68000031
10.066,854469,-4.024307262,-70.23999786,43.68000031
10.079,855569,-3.646522932,-70.23000336,43.68000031
10.093,856669,-5.810075401,-70.22000122,43.68000031
10.108,857769,-5.788427216,-70.20999908,43.68000031
10.16,861069,-28.72968817,-70.18000031,43.68000031
10.223,864369,-12.92663978,-70.15000153,43.68000031
10.242,865469,-25.36238572,-70.13999939,43.68000031
10.257,866569,-30.34042143,-70.12999725,43.68000031
10.267,867669,-16.71174894,-70.12000275,43.68000031
10.276,868769,-17.52063818,-70.11000061,43.68000031
10.301,870969,-15.59999789,-70.08999634,43.68000031
10.318,872069,-27.37571631,-70.08000183,43.68000031
10.337,873169,-29.89799084,-70.06999969,43.68000031
10.356,874269,-30.77038764,-70.05999756,43.68000031
10.376,875369,-48.22737083,-70.05000305,43.68000031
10.396,876469,-43.78621356,-70.04000092,43.68000031
10.415,877569,-30.62531576,-70.02999878,43.68000031
10.433,878669,-22.70618181,-70.01999664,43.68000031
10.453,879769,-29.37506575,-70.01000214,43.68000031
10.472,880869,-29.81068897,-70,43.68000031
10.488,881969,-39.34342182,-69.98999786,43.68000031
10.497,883069,-49.99641324,-69.98000336,43.68000031
10.497,884169,-41.93047095,-69.97000122,43.68000031
10.488,885269,-33.69160049,-69.95999908,43.68000031
10.469,886369,-42.76563859,-69.94999695,43.68000031
10.444,887469,-34.93441954,-69.94000244,43.68000031
10.416,888569,-30.87475976,-69.93000031,43.68000031
10.393,889669,-34.67584449,-69.91999817,43.68000031
10.372,890769,-39.74140633,-69.91000366,43.68000031
10.354,891869,-37.99463646,-69.90000153,43.68000031
10.06,854470,-2.08274789,-70.23999786,43.68999863
10.088,856670,-5.927253661,-70.22000122,43.68999863
10.103,857770,-8.074596292,-70.20999908,43.68999863
10.12,858870,-7.283164073,-70.19999695,43.68999863
10.137,859970,-9.146152715,-70.19000244,43.68999863
10.156,861070,-24.70078197,-70.18000031,43.68999863
10.234,865470,-15.18275001,-70.13999939,43.68999863
10.25,866570,-27.09734374,-70.12999725,43.68999863
10.264,867670,-24.10769029,-70.12000275,43.68999863
