#,Date-Time (EDT),Temperature   (°C),Started,Button Down,Button Up,End of File
563,06/05/2025 13:54:44,52.46,,,,
564,06/05/2025 13:59:44,53.24,,,,
565,06/05/2025 14:04:44,52.76,,,,
566,06/05/2025 14:09:44,52.04,,,,
567,06/05/2025 14:14:44,52.21,,,,
568,06/05/2025 14:19:44,52.76,,,,
569,06/05/2025 14:24:44,51.13,,,,
570,06/05/2025 14:29:44,50.02,,,,
571,06/05/2025 14:34:44,49.20,,,,
572,06/05/2025 14:39:44,48.56,,,,
573,06/05/2025 14:44:44,48.52,,,,
574,06/05/2025 14:49:44,47.66,,,,
575,06/05/2025 14:54:44,41.40,,,,
576,06/05/2025 14:59:44,37.75,,,,
577,06/05/2025 15:04:44,35.13,,,,
578,06/05/2025 15:09:44,33.89,,,,
579,06/05/2025 15:14:44,32.60,,,,
580,06/05/2025 15:19:44,31.74,,,,
581,06/05/2025 15:24:44,30.71,,,,
582,06/05/2025 15:29:44,30.16,,,,
583,06/05/2025 15:34:44,29.51,,,,
584,06/05/2025 15:39:44,29.26,,,,
585,06/05/2025 15:44:44,29.21,,,,
586,06/05/2025 15:49:44,28.83,,,,
587,06/05/2025 15:54:44,28.23,,,,
588,06/05/2025 15:59:44,27.88,,,,
589,06/05/2025 16:04:44,27.63,,,,
590,06/05/2025 16:09:44,26.98,,,,
591,06/05/2025 16:14:44,26.81,,,,
592,06/05/2025 16:19:44,26.81,,,,
593,06/05/2025 16:24:44,26.34,,,,
594,06/05/2025 16:29:44,25.99,,,,
595,06/05/2025 16:34:44,25.91,,,,
596,06/05/2025 16:39:44,25.69,,,,
597,06/05/2025 16:44:44,25.52,,,,
598,06/05/2025 16:49:44,25.52,,,,
