"metar_date","wind_dir","wind_speed","tempr","dewpt","press","vis"
2023-06-30 04:35:00,104.723961297666,1.57211525722194,18.5833902161547,17.1001706484642,1014.59936860068,8957.58317406143
2023-06-30 04:40:00,104.672737620945,1.57167292619928,18.5839590443686,17.1013083048919,1014.59821387941,8951.17509101251
2023-06-30 04:45:00,104.615822424587,1.57123059517662,18.5850967007964,17.1030147895336,1014.59686575654,8944.7670079636
2023-06-30 04:50:00,104.604439385316,1.57078826415396,18.5862343572241,17.1047212741752,1014.59551763367,8940.18980659841
2023-06-30 04:55:00,104.607061503417,1.5703459331313,18.5877133105802,17.1063708759954,1014.59416951081,8939.27436860068
2023-06-30 05:00:00,104.578587699317,1.56990242674913,18.5894197952218,17.1080773606371,1014.59282138794,8938.35893060296
2023-06-30 05:05:00,104.521640091116,1.56945888189111,18.5911262798635,17.1097838452787,1014.59147326507,8938.35893060296
2023-06-30 05:10:00,104.462151394422,1.56901533703308,18.5924957362138,17.1108584422968,1014.58914724275,8942.42662876634
2023-06-30 05:15:00,104.481776765376,1.56857179217505,18.5928327645051,17.1114903299204,1014.5903185438,8939.27436860068
2023-06-30 05:20:00,104.424829157175,1.56812824731702,18.5945961319681,17.1131399317406,1014.58916382253,8942.02068828214
2023-06-30 05:25:00,104.373576309795,1.56768525103666,18.5963026166098,17.1148464163823,1014.58800910125,8944.7670079636
2023-06-30 05:30:00,104.515945330296,1.5672422547563,18.5985779294653,17.1165529010239,1014.58685437998,8944.7670079636
2023-06-30 05:35:00,104.470387243736,1.56679925847594,18.6008532423208,17.1182593856655,1014.5856996587,8944.7670079636
2023-06-30 05:40:00,104.413439635535,1.56635626219558,18.6031285551763,17.1199658703072,1014.58435153584,8947.51332764505
2023-06-30 05:45:00,104.350797266515,1.56591326591522,18.6054038680319,17.1216723549488,1014.58300341297,8950.25964732651
2023-06-30 05:50:00,104.515945330296,1.56546998348657,18.6076791808874,17.1233788395904,1014.5816552901,8952.09052901024
