"loc_id","date","site_name","site_id","bay_location","species_name","sex","length_mm","notes","week","month","year"
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","tomcod",NA,53,NA,27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","tomcod",NA,59,NA,27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","tomcod",NA,52,NA,27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","atlantic herring",NA,51,NA,27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","atlantic herring",NA,47,NA,27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","atlantic herring",NA,55,NA,27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","unID sculpin",NA,55,"Picture 5; possibly short",27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","unID sculpin",NA,41,"Possibly short",27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","unID sculpin",NA,34,"Possibly short",27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","rock gunnel",NA,85,"Picture 6",27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","green crab","m",12,NA,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","mummichog",NA,77,NA,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","mummichog",NA,45,NA,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","mummichog",NA,50,NA,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","mummichog",NA,54,NA,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","mummichog",NA,46,NA,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","mummichog",NA,49,NA,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","mummichog",NA,44,NA,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","mummichog",NA,48,NA,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","tomcod",NA,54,NA,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","tomcod",NA,48,NA,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","tomcod",NA,49,NA,27,7,2014
