"date","sst","min","max","sd","range","year","month","hold"
2004-09-26,14.897867826087,14.447,15.559,0.272427076694565,1.11200000000002,"2004",9,2025-09-26
2004-09-27,14.6420817391304,14.208,15.228,0.279320969689833,1.01999999999998,"2004",9,2025-09-27
2004-09-28,14.4439008695652,14.045,14.793,0.230697817907747,0.74799999999999,"2004",9,2025-09-28
2004-09-29,13.6453443478261,13.072,13.907,0.188105870456578,0.83499999999998,"2004",9,2025-09-29
2004-09-30,13.6466347826087,13.029,14.018,0.219926790576203,0.988999999999976,"2004",9,2025-09-30
2004-10-01,13.6004852173913,13.053,13.845,0.176754005441547,0.79200000000003,"2004",10,2025-10-01
2004-10-02,13.3435130434783,13.04,13.491,0.101534495367002,0.450999999999965,"2004",10,2025-10-02
2004-10-03,13.4406608695652,13.143,13.746,0.178469445503529,0.603000000000009,"2004",10,2025-10-03
2004-10-04,13.36768,12.964,13.655,0.135423681015512,0.690999999999974,"2004",10,2025-10-04
2004-10-05,13.2541443478261,12.928,13.552,0.138005460044046,0.624000000000024,"2004",10,2025-10-05
2004-10-06,12.7437304347826,12.294,12.972,0.130715940776768,0.677999999999997,"2004",10,2025-10-06
2004-10-07,12.7210782608696,12.368,13.067,0.14025086706062,0.699000000000012,"2004",10,2025-10-07
2004-10-08,12.7262747826087,12.367,13.095,0.147157164226497,0.728000000000009,"2004",10,2025-10-08
2004-10-09,12.6538660869565,12.372,12.92,0.121807229669746,0.548000000000002,"2004",10,2025-10-09
2004-10-10,12.5647182608696,12.299,12.884,0.141431693651372,0.585000000000036,"2004",10,2025-10-10
2004-10-11,12.1386295652174,11.436,12.694,0.291372883028082,1.25800000000004,"2004",10,2025-10-11
2004-10-12,11.805332173913,11.242,12.155,0.229342119085723,0.912999999999954,"2004",10,2025-10-12
2004-10-13,11.6205652173913,10.799,12.091,0.320520219848322,1.29200000000003,"2004",10,2025-10-13
2004-10-14,11.7145060869565,11.12,11.976,0.212664987103868,0.855999999999995,"2004",10,2025-10-14
2004-10-15,11.7579356521739,11.397,12.015,0.12835487214773,0.617999999999995,"2004",10,2025-10-15
2004-10-16,11.4992260869565,11.105,11.844,0.158627566624462,0.738999999999976,"2004",10,2025-10-16
2004-10-17,11.4704295652174,11.107,11.761,0.132763031259922,0.654000000000053,"2004",10,2025-10-17
2004-10-18,11.2305843478261,10.742,11.601,0.151161309753619,0.85899999999998,"2004",10,2025-10-18
2004-10-19,10.7394295652174,10.383,11.164,0.16772900460267,0.781000000000006,"2004",10,2025-10-19
2004-10-20,10.5884869565217,10.315,11.011,0.1699919635945,0.696000000000026,"2004",10,2025-10-20
2004-10-21,10.6338886956522,10.491,10.85,0.0981940310259846,0.359000000000037,"2004",10,2025-10-21
2004-10-22,10.6577043478261,10.597,10.802,0.0356122590550065,0.205000000000041,"2004",10,2025-10-22
2004-10-23,10.3630017391304,10.282,10.417,0.0293796190900438,0.134999999999991,"2004",10,2025-10-23
2004-10-24,10.1338295652174,9.96100000000001,10.297,0.0740861314518717,0.336000000000013,"2004",10,2025-10-24
2004-10-25,9.98561217391304,9.80900000000003,10.119,0.0672716231416264,0.310000000000002,"2004",10,2025-10-25
2004-10-26,9.90123478260869,9.73700000000002,10.075,0.0739197382836482,0.337999999999965,"2004",10,2025-10-26
2004-10-27,9.90580173913043,9.75799999999998,10.076,0.0697329075414387,0.31800000000004,"2004",10,2025-10-27
2004-10-28,9.86866260869565,9.70299999999997,10.007,0.0626234884033382,0.30400000000003,"2004",10,2025-10-28
2004-10-29,9.81030782608696,9.60899999999998,9.94900000000001,0.0788260170661958,0.340000000000032,"2004",10,2025-10-29
2004-10-30,10.1122886956522,9.93799999999999,10.257,0.0624920911584418,0.319000000000017,"2004",10,2025-10-30
