Date,Simple Date,Outdoor Temperature (??F),Feels Like (??F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (??),Rain Rate (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg),CO2 battery
2025-08-07T22:45:00-04:00,8/7/2025 22:45,66.4,66.4,4,5.8,17.2,190,0,0,0,0,0.1,180.87,30.6,79,0,0,30.18,1
2025-08-07T22:40:00-04:00,8/7/2025 22:40,66.4,66.4,4.3,5.8,17.2,196,0,0,0,0,0.1,180.87,30.6,78,0,0,30.18,1
2025-08-07T22:35:00-04:00,8/7/2025 22:35,66.4,66.4,3.6,4.5,17.2,206,0,0,0,0,0.1,180.87,30.6,78,0,0,30.18,1
2025-08-07T22:30:00-04:00,8/7/2025 22:30,65.8,65.8,6.5,8.1,17.2,217,0,0,0,0,0.1,180.87,30.59,80,0,0,30.18,1
2025-08-07T22:25:00-04:00,8/7/2025 22:25,65.7,65.7,4.9,6.9,17.2,258,0,0,0,0,0.1,180.87,30.6,80,0,0,30.18,1
2025-08-07T22:20:00-04:00,8/7/2025 22:20,65.7,65.7,4.9,6.9,17.2,195,0,0,0,0,0.1,180.87,30.6,80,0,0,30.18,1
2025-08-07T22:15:00-04:00,8/7/2025 22:15,65.5,65.5,0.7,1.1,17.2,170,0,0,0,0,0.1,180.87,30.6,80,0,0,30.18,1
2025-08-07T22:10:00-04:00,8/7/2025 22:10,65.7,65.7,3.4,3.4,17.2,220,0,0,0,0,0.1,180.87,30.6,81,0,0,30.18,1
2025-08-07T22:05:00-04:00,8/7/2025 22:05,65.8,65.8,2.2,2.2,17.2,179,0,0,0,0,0.1,180.87,30.59,81,0,0,30.18,1
2025-08-07T22:00:00-04:00,8/7/2025 22:00,66,66,3.1,3.4,17.2,213,0,0,0,0,0.1,180.87,30.6,80,0,0,30.18,1
2025-08-07T21:55:00-04:00,8/7/2025 21:55,66,66,4.5,5.8,17.2,220,0,0,0,0,0.1,180.87,30.59,78,0,0,30.18,1
2025-08-07T21:50:00-04:00,8/7/2025 21:50,66,66,2.9,3.4,17.2,210,0,0,0,0,0.1,180.87,30.59,78,0,0,30.18,1
